mouseid,filename,patch_site,best_frequency,bandwidth,onset,offset,peak_amplitude,time_to_peak,HWFM,peak_end,tone_area,offtone_area
TG150,20230607_001,up,13680.589312517164,2.1999999999999993,0.025264558667348263,3.963792561400032,4.305110219393853,-26.12,145.68,293.24,12780.006169444976,3334.4052635433236
TG150,20230607_004,up,11794.020907260416,2.2500000000000004,0.19914836401557634,4.405845946929355,5.096081756528882,-50.72,141.92,241.8,14816.525727077387,2598.146333497235
TG150,20230607_007,up,11987.732975406981,2.25,-0.10996864336557116,3.514968806193834,4.814537215446095,-47.2,145.08,248.32,13253.177154545265,2883.4230485365097
TG150,20230607_008,up,12856.356898550013,2.2500000000000004,-0.04539956087556083,9.33306161189213,9.888885608213382,-13.68,134.56,281.04,27849.58269649232,6599.1169078361245
TG150,20230607_011,up,12211.418894633562,2.5,-0.0078002003538444106,4.803914447855423,5.058481176315749,-20.76,142.8,277.6,15843.422328384362,3351.3166741509485
TG150,20230607_013,up,11393.893935831116,2.7166666666666672,-0.048175198235052216,5.852034098395457,6.048305689314016,-20.16,107.28,236.64,15858.35467243918,-1433.7058225922042
TG145,20230628_002,up,8806.575268171293,1.8666666666666674,-0.04662999702015184,4.104877833429893,5.707225193896918,-26.8,105.2,277.0,14323.207689797004,3625.702247054101
TG145,20230630_002,up,11842.818145134745,2.0,0.1451051139117214,3.2497399483629055,4.800584589840045,-70.6,183.36,60.6,13513.19223156602,7337.0352865877685
TG145,20230630_007,low,14122.906262915469,1.5333333333333332,0.016405558228918402,0.5981933687887665,1.4724859120003222,-61.88,30.36,63.16,2507.8671826341197,3517.793787609886
TG145,20230630_010,low,9890.748335389411,1.4833333333333325,0.26586927878244754,0.6748568738889128,4.4660422766875625,-59.56,46.52,96.76,5109.529044339998,1694.0786688298886
TG146,20230630_013,low,21611.494966815884,1.3833333333333346,-0.19091874476230677,-0.4411164679053101,0.9685056028732334,-66.4,25.16,55.28,402.17552047036605,2855.9366236999685
TP032,20231008_001,up,14998.33068007616,1.9000000000000004,-0.17484920584327954,10.906068510183863,16.063979367289868,-40.88,104.08,363.4,39454.199442323195,10601.348625899058
TP032,20231008_003,up,18810.79504850385,2.0666666666666664,0.11642799282322909,3.041309784988077,3.6536791061448883,-30.6,106.92,327.36,10196.313923339785,3494.845163164326
TP032,20231008_006,up,23158.529041152924,2.133333333333333,-0.10313192799890133,3.2025541251649945,4.084368926751573,-38.84,133.32,252.88,11262.73733710117,2922.6575859606037
TP026,20231012_001,low,13556.6174791346,3.0,-0.15073001734453398,1.7436462399716557,2.3809637652657645,19.6,144.28,310.72,5669.276307806706,3818.105079160018
TP057,20231026_001,up,37902.84798747185,2.0166666666666675,0.02834083119340017,4.443353119484299,4.528666567897676,14.68,149.72,296.08,14885.601548236116,7081.994537361292
TP064,20231121_001,low,4578.418161422723,0.6500000000000002,-0.3775224819277128,7.873506518320819,10.522648735494899,-43.04,109.08,195.16,27482.382089290157,11864.123262223264
TP064,20231121_004,low,4567.457757954074,0.6666666666666662,0.31315106577384166,0.6444899732521022,5.989132061560737,-66.16,42.08,96.68,7101.256919666766,5597.895905834466
TP064,20231121_006,low,3356.122349085611,0.21666666666666673,0.07701127115876319,4.131263328533263,11.862707152858025,-74.76,69.28,189.72,21879.467227912854,8173.658600725149
TP064,20231121_008,up,14677.338070036418,2.5,-0.21737170143973222,2.4557231889307283,3.4434147170399627,-45.08,109.52,213.6,7883.376063557255,3424.3405564487402
TP087,20231128_002,low,7523.140739173674,2.216666666666665,-0.02848213658067524,0.7610693208231312,1.503584606724347,-64.56,9.36,128.68,1930.219911746811,1144.1047685643985
TP087,20231128_008,low,5714.90606273193,1.0999999999999996,0.05804852139282088,5.4243451740964765,11.085309388104193,-44.6,76.12,173.96,20931.484093200273,1071.9522488158498
TP087,20231128_011,low,7038.747464294746,1.333333333333334,0.11406773199889672,2.2794157517907054,6.314246522624598,-52.6,65.96,153.28,10374.28952808617,2543.0204608241274
TP096,20231201_001,low,13870.342523444559,1.266666666666666,-0.22637705208035,0.6311944767444219,6.0916382196076535,-73.6,32.56,114.24,10551.02628928647,2899.470300674698
TP096,20231201_005,up,17294.411586544542,3.35,-0.07419138442669182,3.267703556603711,3.154566579745721,-40.72,191.24,348.04,11587.281655741215,3472.751993746804
TP096,20231201_008,up,20434.593040104843,2.1333333333333324,0.1129312755109535,1.6378482105036642,1.8600538040626426,10.08,138.92,254.48,5621.793510822794,1118.9567365671433
TP109,20231215_001,up,18816.373358651043,3.133333333333333,0.1266398148561062,1.2222206215307525,2.2062275326184673,-61.92,52.24,130.2,4390.124929809155,1677.765090239549
TP110,20231221_003,low,6610.68692173976,1.2500000000000002,-0.0946066995935149,1.8428268150063656,3.4369693826367067,-60.04,76.6,177.0,7644.015476220962,1759.3115993691533
TP110,20231221_006,low,6942.616921550148,1.5833333333333341,0.09411941867251351,0.483841598821595,1.8692756941505044,-67.44,42.4,146.12,2493.475159792469,1460.5279440408779
